ProjectName,ProjectType,StartDate,EndDate,TotalRuns,DaysOfCIActivity,JobFailCount,JobErrorCount
AugurProject/augur-core,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Cloud-CV/Fabrik,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Doist/bitmapist,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
EdjoLabs/image-match,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
FontCustom/fontcustom,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
HouzuoGuo/tiedot,NonML,2016-11-11,2017-11-12,90,1358,36,4
HuberTRoy/MusicBox,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
JinnLynn/genpac,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Kobzol/hardware-effects,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
KonstantinSchubert/zero,NonML,2017-09-06,2018-09-07,18,1268,0,0
MagicStack/MagicPython,NonML,2017-10-03,2018-10-04,206,1728,4,0
Maratyszcza/NNPACK,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Marten4n6/EvilOSX,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Mimino666/langdetect,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
MongoEngine/flask-mongoengine,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
NetEaseGame/ATX,NonML,2018-03-01,2019-03-02,220,953,0,18
P0cL4bs/WiFi-Pumpkin,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
RJT1990/pyflux,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Shougo/unite.vim,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
SilenceIM/Silence,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
SirVer/ultisnips,NonML,2018-03-31,2019-04-01,466,1599,134,31
SublimeText/CTags,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Swall0w/torchstat,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Tencent/PhoenixGo,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Tencent/phxpaxos,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Workiva/go-datastructures,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
Wramberg/TerminalView,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
YadiraF/PRNet,NonML,2017-05-09,2018-05-10,78,882,6,0
aaronjanse/asciidots,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
aergoio/litetree,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
ajalt/fuckitpy,NonML,2015-12-23,2016-12-23,13,1396,0,0
alexazhou/VeryNginx,NonML,2017-09-24,2018-09-25,115,1408,1,0
alichtman/stronghold,NonML,2017-03-19,2018-03-20,2,0,0,0
amoffat/snake,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
amonapp/amon,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
amueller/introduction_to_ml_with_python,NonML,2017-10-19,2018-10-20,10,2,0,0
anishathalye/git-remote-dropbox,NonML,2018-05-13,2019-05-14,19,127,0,0
ansible/ansible-container,NonML,2018-07-23,2019-07-24,563,643,1430,58
apachecn/hands-on-ml-zh,NonML,2018-01-29,2019-01-30,21,46,0,0
aploium/zmirror,NonML,2018-02-01,2019-02-02,254,903,4,0
areski/python-nvd3,NonML,2017-01-09,2018-01-10,67,1705,12,4
asaini/Apriori,NonML,2015-09-01,2016-09-01,16,1659,0,0
awslabs/aws-shell,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
baidu/tera,NonML,2018-01-21,2019-01-22,630,795,5,8
benhamner/Metrics,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
binarydud/pyres,NonML,2015-11-18,2016-11-18,12,1503,0,0
blei-lab/edward,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
brainsik/virtualenv-burrito,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
brave/browser-laptop,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
cemoody/lda2vec,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
certsocietegenerale/FIR,NonML,2017-09-15,2018-09-16,123,1715,0,3
citronneur/rdpy,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
clarkduvall/serpy,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
cloudnativelabs/kube-shell,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
cmu-db/peloton,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
coderholic/django-cities,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
codesenberg/bombardier,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
csvoss/onelinerizer,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
cvhciKIT/sloth,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
dabeaz/curio,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
debois/elm-mdl,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
dialogflow/dialogflow-python-client,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
dingdang-robot/dingdang-robot,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
djacobs/PyAPNs,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
django-cache-machine/django-cache-machine,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
douban/dpark,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
dropbox/godropbox,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
dshearer/jobber,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
dsoprea/GDriveFS,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
encode/apistar,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
epinna/weevely3,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
erikrose/parsimonious,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
ethz-asl/maplab,NonML,2017-06-24,2018-06-25,14,47,0,0
eudicots/Cactus,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
ezaquarii/vpn-at-home,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
facebook/PathPicker,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
facebookarchive/python-instagram,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
fastmonkeys/stellar,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
flaskbb/flaskbb,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
flexxui/flexx,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
floooh/oryol,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
flyimg/flyimg,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
fossasia/meilix-systemlock,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
fossasia/open-event,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
fossasia/open-event-droidgen,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
getsentry/milksnake,NonML,2017-03-23,2018-03-24,18,1187,0,0
getsentry/raven-python,NonML,2018-01-15,2019-01-16,945,2008,187,42
goldsmith/Wikipedia,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
google-research/batch-ppo,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
google/vim-maktaba,NonML,2017-05-22,2018-05-23,223,1823,8,0
googlesamples/assistant-sdk-python,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
grangier/python-goose,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
greg7mdp/sparsepp,NonML,2017-09-16,2018-09-17,159,1599,18,16
guyzmo/git-repo,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
hellysmile/fake-useragent,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
intelxed/xed,NonML,2018-08-09,2019-08-10,407,962,14,0
ionelmc/pytest-benchmark,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
jacksu/utils4s,NonML,2018-02-09,2019-02-10,11,753,0,0
jameysharp/corrode,NonML,2018-03-10,2019-03-11,141,950,0,0
jazzband/django-admin2,NonML,2017-11-02,2018-11-03,135,1546,673,1
jazzband/django-hosts,NonML,2016-11-14,2017-11-15,114,1365,16,0
jborg/attic,NonML,2016-03-10,2017-03-11,4,1490,0,0
jdf/processing.py,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
jek/blinker,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
jorgebastida/gordon,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
kdchang/reactjs101,NonML,2017-05-26,2018-05-27,44,574,14,0
kdzwinel/betwixt,NonML,2018-01-08,2019-01-09,12,818,0,0
keepassx/keepassx,NonML,2017-07-22,2018-07-23,152,1686,13,1
khamidou/kite,NonML,2018-04-17,2019-04-18,1,0,0,0
kieferk/dfply,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
kootenpv/whereami,NonML,2018-02-14,2019-02-15,52,865,0,0
kootenpv/yagmail,NonML,2016-10-15,2017-10-16,105,1741,11,2
krallin/tini,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
lambtron/emojipacks,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
libfann/fann,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
loregr/LGButton,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
ma6174/vim,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
maciejkula/glove-python,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mafintosh/turbo-net,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mailgun/flanker,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
mantl/mantl,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
martinrusev/imbox,NonML,NoneFound,NoneFound,NoneFound,0,0,0,0
